DAY: 0, CUR_POPL: 383, TOTAL_CVD_INF: 18, TOTAL_CVD_ACTIVE: 18, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 15, CUR_POPL: 383, TOTAL_CVD_INF: 97, TOTAL_CVD_ACTIVE: 97, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 16, CUR_POPL: 383, TOTAL_CVD_INF: 104, TOTAL_CVD_ACTIVE: 104, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 17, CUR_POPL: 383, TOTAL_CVD_INF: 107, TOTAL_CVD_ACTIVE: 107, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 18, CUR_POPL: 383, TOTAL_CVD_INF: 113, TOTAL_CVD_ACTIVE: 113, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 19, CUR_POPL: 383, TOTAL_CVD_INF: 118, TOTAL_CVD_ACTIVE: 118, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 20, CUR_POPL: 383, TOTAL_CVD_INF: 121, TOTAL_CVD_ACTIVE: 121, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 0, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 21, CUR_POPL: 382, TOTAL_CVD_INF: 121, TOTAL_CVD_ACTIVE: 120, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 1, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 22, CUR_POPL: 378, TOTAL_CVD_INF: 125, TOTAL_CVD_ACTIVE: 120, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 5, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 23, CUR_POPL: 374, TOTAL_CVD_INF: 129, TOTAL_CVD_ACTIVE: 120, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 9, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 24, CUR_POPL: 373, TOTAL_CVD_INF: 129, TOTAL_CVD_ACTIVE: 119, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 10, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 25, CUR_POPL: 371, TOTAL_CVD_INF: 129, TOTAL_CVD_ACTIVE: 117, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 12, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 26, CUR_POPL: 370, TOTAL_CVD_INF: 129, TOTAL_CVD_ACTIVE: 116, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 13, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 27, CUR_POPL: 367, TOTAL_CVD_INF: 133, TOTAL_CVD_ACTIVE: 117, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 16, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 28, CUR_POPL: 366, TOTAL_CVD_INF: 134, TOTAL_CVD_ACTIVE: 117, TOTAL_CVD_RECVRD: 0, TOTAL_CVD_DCSD: 17, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 29, CUR_POPL: 364, TOTAL_CVD_INF: 135, TOTAL_CVD_ACTIVE: 111, TOTAL_CVD_RECVRD: 5, TOTAL_CVD_DCSD: 19, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 30, CUR_POPL: 363, TOTAL_CVD_INF: 136, TOTAL_CVD_ACTIVE: 106, TOTAL_CVD_RECVRD: 10, TOTAL_CVD_DCSD: 20, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 31, CUR_POPL: 362, TOTAL_CVD_INF: 140, TOTAL_CVD_ACTIVE: 104, TOTAL_CVD_RECVRD: 15, TOTAL_CVD_DCSD: 21, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 32, CUR_POPL: 361, TOTAL_CVD_INF: 140, TOTAL_CVD_ACTIVE: 98, TOTAL_CVD_RECVRD: 20, TOTAL_CVD_DCSD: 22, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 33, CUR_POPL: 361, TOTAL_CVD_INF: 143, TOTAL_CVD_ACTIVE: 96, TOTAL_CVD_RECVRD: 25, TOTAL_CVD_DCSD: 22, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 34, CUR_POPL: 360, TOTAL_CVD_INF: 148, TOTAL_CVD_ACTIVE: 95, TOTAL_CVD_RECVRD: 30, TOTAL_CVD_DCSD: 23, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 35, CUR_POPL: 359, TOTAL_CVD_INF: 151, TOTAL_CVD_ACTIVE: 95, TOTAL_CVD_RECVRD: 32, TOTAL_CVD_DCSD: 24, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 36, CUR_POPL: 359, TOTAL_CVD_INF: 152, TOTAL_CVD_ACTIVE: 93, TOTAL_CVD_RECVRD: 35, TOTAL_CVD_DCSD: 24, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 37, CUR_POPL: 359, TOTAL_CVD_INF: 155, TOTAL_CVD_ACTIVE: 91, TOTAL_CVD_RECVRD: 40, TOTAL_CVD_DCSD: 24, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 38, CUR_POPL: 358, TOTAL_CVD_INF: 159, TOTAL_CVD_ACTIVE: 92, TOTAL_CVD_RECVRD: 42, TOTAL_CVD_DCSD: 25, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 39, CUR_POPL: 357, TOTAL_CVD_INF: 166, TOTAL_CVD_ACTIVE: 97, TOTAL_CVD_RECVRD: 43, TOTAL_CVD_DCSD: 26, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 40, CUR_POPL: 355, TOTAL_CVD_INF: 167, TOTAL_CVD_ACTIVE: 94, TOTAL_CVD_RECVRD: 45, TOTAL_CVD_DCSD: 28, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 41, CUR_POPL: 354, TOTAL_CVD_INF: 169, TOTAL_CVD_ACTIVE: 92, TOTAL_CVD_RECVRD: 48, TOTAL_CVD_DCSD: 29, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 42, CUR_POPL: 354, TOTAL_CVD_INF: 170, TOTAL_CVD_ACTIVE: 90, TOTAL_CVD_RECVRD: 51, TOTAL_CVD_DCSD: 29, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 43, CUR_POPL: 353, TOTAL_CVD_INF: 175, TOTAL_CVD_ACTIVE: 93, TOTAL_CVD_RECVRD: 52, TOTAL_CVD_DCSD: 30, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 44, CUR_POPL: 353, TOTAL_CVD_INF: 176, TOTAL_CVD_ACTIVE: 89, TOTAL_CVD_RECVRD: 57, TOTAL_CVD_DCSD: 30, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 45, CUR_POPL: 353, TOTAL_CVD_INF: 177, TOTAL_CVD_ACTIVE: 85, TOTAL_CVD_RECVRD: 62, TOTAL_CVD_DCSD: 30, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 46, CUR_POPL: 353, TOTAL_CVD_INF: 178, TOTAL_CVD_ACTIVE: 82, TOTAL_CVD_RECVRD: 66, TOTAL_CVD_DCSD: 30, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 47, CUR_POPL: 353, TOTAL_CVD_INF: 180, TOTAL_CVD_ACTIVE: 79, TOTAL_CVD_RECVRD: 71, TOTAL_CVD_DCSD: 30, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 48, CUR_POPL: 352, TOTAL_CVD_INF: 182, TOTAL_CVD_ACTIVE: 79, TOTAL_CVD_RECVRD: 72, TOTAL_CVD_DCSD: 31, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 49, CUR_POPL: 352, TOTAL_CVD_INF: 185, TOTAL_CVD_ACTIVE: 81, TOTAL_CVD_RECVRD: 73, TOTAL_CVD_DCSD: 31, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 50, CUR_POPL: 352, TOTAL_CVD_INF: 189, TOTAL_CVD_ACTIVE: 83, TOTAL_CVD_RECVRD: 75, TOTAL_CVD_DCSD: 31, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 51, CUR_POPL: 351, TOTAL_CVD_INF: 190, TOTAL_CVD_ACTIVE: 82, TOTAL_CVD_RECVRD: 76, TOTAL_CVD_DCSD: 32, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 52, CUR_POPL: 350, TOTAL_CVD_INF: 192, TOTAL_CVD_ACTIVE: 82, TOTAL_CVD_RECVRD: 77, TOTAL_CVD_DCSD: 33, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 53, CUR_POPL: 350, TOTAL_CVD_INF: 193, TOTAL_CVD_ACTIVE: 78, TOTAL_CVD_RECVRD: 82, TOTAL_CVD_DCSD: 33, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 54, CUR_POPL: 349, TOTAL_CVD_INF: 196, TOTAL_CVD_ACTIVE: 79, TOTAL_CVD_RECVRD: 83, TOTAL_CVD_DCSD: 34, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 55, CUR_POPL: 347, TOTAL_CVD_INF: 197, TOTAL_CVD_ACTIVE: 77, TOTAL_CVD_RECVRD: 84, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 56, CUR_POPL: 347, TOTAL_CVD_INF: 199, TOTAL_CVD_ACTIVE: 76, TOTAL_CVD_RECVRD: 87, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 57, CUR_POPL: 347, TOTAL_CVD_INF: 199, TOTAL_CVD_ACTIVE: 76, TOTAL_CVD_RECVRD: 87, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 58, CUR_POPL: 347, TOTAL_CVD_INF: 200, TOTAL_CVD_ACTIVE: 76, TOTAL_CVD_RECVRD: 88, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 59, CUR_POPL: 347, TOTAL_CVD_INF: 201, TOTAL_CVD_ACTIVE: 77, TOTAL_CVD_RECVRD: 88, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 60, CUR_POPL: 347, TOTAL_CVD_INF: 204, TOTAL_CVD_ACTIVE: 78, TOTAL_CVD_RECVRD: 90, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 61, CUR_POPL: 347, TOTAL_CVD_INF: 207, TOTAL_CVD_ACTIVE: 81, TOTAL_CVD_RECVRD: 90, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 62, CUR_POPL: 347, TOTAL_CVD_INF: 207, TOTAL_CVD_ACTIVE: 80, TOTAL_CVD_RECVRD: 91, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 63, CUR_POPL: 347, TOTAL_CVD_INF: 208, TOTAL_CVD_ACTIVE: 78, TOTAL_CVD_RECVRD: 94, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 64, CUR_POPL: 347, TOTAL_CVD_INF: 209, TOTAL_CVD_ACTIVE: 77, TOTAL_CVD_RECVRD: 96, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 65, CUR_POPL: 347, TOTAL_CVD_INF: 210, TOTAL_CVD_ACTIVE: 77, TOTAL_CVD_RECVRD: 97, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 66, CUR_POPL: 347, TOTAL_CVD_INF: 210, TOTAL_CVD_ACTIVE: 75, TOTAL_CVD_RECVRD: 99, TOTAL_CVD_DCSD: 36, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 67, CUR_POPL: 346, TOTAL_CVD_INF: 211, TOTAL_CVD_ACTIVE: 74, TOTAL_CVD_RECVRD: 100, TOTAL_CVD_DCSD: 37, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 68, CUR_POPL: 345, TOTAL_CVD_INF: 212, TOTAL_CVD_ACTIVE: 72, TOTAL_CVD_RECVRD: 102, TOTAL_CVD_DCSD: 38, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 69, CUR_POPL: 345, TOTAL_CVD_INF: 215, TOTAL_CVD_ACTIVE: 70, TOTAL_CVD_RECVRD: 107, TOTAL_CVD_DCSD: 38, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 70, CUR_POPL: 345, TOTAL_CVD_INF: 215, TOTAL_CVD_ACTIVE: 65, TOTAL_CVD_RECVRD: 112, TOTAL_CVD_DCSD: 38, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 71, CUR_POPL: 344, TOTAL_CVD_INF: 215, TOTAL_CVD_ACTIVE: 60, TOTAL_CVD_RECVRD: 116, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 72, CUR_POPL: 344, TOTAL_CVD_INF: 215, TOTAL_CVD_ACTIVE: 59, TOTAL_CVD_RECVRD: 117, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 73, CUR_POPL: 344, TOTAL_CVD_INF: 215, TOTAL_CVD_ACTIVE: 56, TOTAL_CVD_RECVRD: 120, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 74, CUR_POPL: 344, TOTAL_CVD_INF: 216, TOTAL_CVD_ACTIVE: 55, TOTAL_CVD_RECVRD: 122, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 75, CUR_POPL: 344, TOTAL_CVD_INF: 217, TOTAL_CVD_ACTIVE: 55, TOTAL_CVD_RECVRD: 123, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 76, CUR_POPL: 344, TOTAL_CVD_INF: 219, TOTAL_CVD_ACTIVE: 56, TOTAL_CVD_RECVRD: 124, TOTAL_CVD_DCSD: 39, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 77, CUR_POPL: 343, TOTAL_CVD_INF: 219, TOTAL_CVD_ACTIVE: 53, TOTAL_CVD_RECVRD: 126, TOTAL_CVD_DCSD: 40, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 78, CUR_POPL: 343, TOTAL_CVD_INF: 220, TOTAL_CVD_ACTIVE: 50, TOTAL_CVD_RECVRD: 130, TOTAL_CVD_DCSD: 40, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 79, CUR_POPL: 342, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 48, TOTAL_CVD_RECVRD: 133, TOTAL_CVD_DCSD: 41, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 80, CUR_POPL: 341, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 45, TOTAL_CVD_RECVRD: 135, TOTAL_CVD_DCSD: 42, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 81, CUR_POPL: 340, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 42, TOTAL_CVD_RECVRD: 137, TOTAL_CVD_DCSD: 43, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 82, CUR_POPL: 339, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 41, TOTAL_CVD_RECVRD: 137, TOTAL_CVD_DCSD: 44, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 83, CUR_POPL: 339, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 39, TOTAL_CVD_RECVRD: 139, TOTAL_CVD_DCSD: 44, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 84, CUR_POPL: 339, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 37, TOTAL_CVD_RECVRD: 141, TOTAL_CVD_DCSD: 44, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 85, CUR_POPL: 338, TOTAL_CVD_INF: 222, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 141, TOTAL_CVD_DCSD: 45, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 86, CUR_POPL: 338, TOTAL_CVD_INF: 224, TOTAL_CVD_ACTIVE: 38, TOTAL_CVD_RECVRD: 141, TOTAL_CVD_DCSD: 45, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 87, CUR_POPL: 338, TOTAL_CVD_INF: 225, TOTAL_CVD_ACTIVE: 38, TOTAL_CVD_RECVRD: 142, TOTAL_CVD_DCSD: 45, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 88, CUR_POPL: 337, TOTAL_CVD_INF: 226, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 144, TOTAL_CVD_DCSD: 46, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 89, CUR_POPL: 336, TOTAL_CVD_INF: 227, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 144, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 90, CUR_POPL: 336, TOTAL_CVD_INF: 228, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 145, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 91, CUR_POPL: 336, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 37, TOTAL_CVD_RECVRD: 145, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 92, CUR_POPL: 336, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 146, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 93, CUR_POPL: 336, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 146, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 94, CUR_POPL: 336, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 146, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 95, CUR_POPL: 336, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 36, TOTAL_CVD_RECVRD: 146, TOTAL_CVD_DCSD: 47, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 96, CUR_POPL: 335, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 35, TOTAL_CVD_RECVRD: 146, TOTAL_CVD_DCSD: 48, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 97, CUR_POPL: 334, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 33, TOTAL_CVD_RECVRD: 147, TOTAL_CVD_DCSD: 49, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 98, CUR_POPL: 334, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 30, TOTAL_CVD_RECVRD: 150, TOTAL_CVD_DCSD: 49, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 99, CUR_POPL: 334, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 29, TOTAL_CVD_RECVRD: 151, TOTAL_CVD_DCSD: 49, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 100, CUR_POPL: 333, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 28, TOTAL_CVD_RECVRD: 151, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 101, CUR_POPL: 333, TOTAL_CVD_INF: 229, TOTAL_CVD_ACTIVE: 28, TOTAL_CVD_RECVRD: 151, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 102, CUR_POPL: 333, TOTAL_CVD_INF: 230, TOTAL_CVD_ACTIVE: 29, TOTAL_CVD_RECVRD: 151, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 103, CUR_POPL: 333, TOTAL_CVD_INF: 232, TOTAL_CVD_ACTIVE: 30, TOTAL_CVD_RECVRD: 152, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 104, CUR_POPL: 333, TOTAL_CVD_INF: 232, TOTAL_CVD_ACTIVE: 30, TOTAL_CVD_RECVRD: 152, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 105, CUR_POPL: 333, TOTAL_CVD_INF: 232, TOTAL_CVD_ACTIVE: 29, TOTAL_CVD_RECVRD: 153, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 106, CUR_POPL: 333, TOTAL_CVD_INF: 232, TOTAL_CVD_ACTIVE: 29, TOTAL_CVD_RECVRD: 153, TOTAL_CVD_DCSD: 50, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 107, CUR_POPL: 332, TOTAL_CVD_INF: 232, TOTAL_CVD_ACTIVE: 28, TOTAL_CVD_RECVRD: 153, TOTAL_CVD_DCSD: 51, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 108, CUR_POPL: 332, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 29, TOTAL_CVD_RECVRD: 153, TOTAL_CVD_DCSD: 51, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 109, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 27, TOTAL_CVD_RECVRD: 154, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 110, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 26, TOTAL_CVD_RECVRD: 155, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 111, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 26, TOTAL_CVD_RECVRD: 155, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 112, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 26, TOTAL_CVD_RECVRD: 155, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 113, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 26, TOTAL_CVD_RECVRD: 155, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 114, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 26, TOTAL_CVD_RECVRD: 155, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 115, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 25, TOTAL_CVD_RECVRD: 156, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
DAY: 116, CUR_POPL: 331, TOTAL_CVD_INF: 233, TOTAL_CVD_ACTIVE: 24, TOTAL_CVD_RECVRD: 157, TOTAL_CVD_DCSD: 52, NEW_BIRTHS: 0, NORML_DEATHS: 0
